,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,301.78,302.75,298.8,300.04,LMT
1,2019-02-08,299.22,301.63,296.995,301.5,LMT
2,2019-02-07,298.79,300.36,296.14,300.13,LMT
3,2019-02-06,299.99,302.68,299.01,299.83,LMT
4,2019-02-05,300.0,302.98,297.23,299.46,LMT
5,2019-02-04,290.9,299.06,290.11,298.77,LMT
6,2019-02-01,290.85,292.58,289.195,290.58,LMT
7,2019-01-31,290.17,292.83,287.785,289.69,LMT
8,2019-01-30,293.95,293.99,286.77,291.67,LMT
9,2019-01-29,281.11,292.8619,281.0,292.05,LMT
10,2019-01-28,285.0,288.41,282.885,287.87,LMT
11,2019-01-25,288.17,289.3,286.13,287.04,LMT
12,2019-01-24,284.59,288.24,282.59,285.25,LMT
13,2019-01-23,282.11,285.73,280.5,283.51,LMT
14,2019-01-22,281.39,284.62,278.0,279.59,LMT
15,2019-01-18,281.18,285.37,279.72,282.87,LMT
16,2019-01-17,271.17,279.99,270.84,278.8,LMT
17,2019-01-16,275.4,275.69,270.63,272.39,LMT
18,2019-01-15,278.23,278.335,273.51,276.0,LMT
19,2019-01-14,276.67,279.52,274.43,277.51,LMT
20,2019-01-11,275.79,277.76,272.43,277.73,LMT
21,2019-01-10,269.62,277.68,269.5,277.5,LMT
22,2019-01-09,270.13,272.2167,269.13,270.54,LMT
23,2019-01-08,271.13,271.75,267.81,269.87,LMT
24,2019-01-07,266.0,270.0,263.8625,268.08,LMT
25,2019-01-04,261.92,265.49,260.34,265.04,LMT
26,2019-01-03,262.32,264.0,257.38,258.08,LMT
27,2019-01-02,258.36,265.3,256.79,264.73,LMT
28,2018-12-31,262.15,265.1084,259.85,261.84,LMT
29,2018-12-28,263.01,264.8298,260.14,261.26,LMT
30,2018-12-27,249.25,259.79,248.2,259.79,LMT
31,2018-12-26,246.31,251.89,241.1796,251.62,LMT
32,2018-12-24,253.03,254.63,245.01,245.22,LMT
33,2018-12-21,260.78,262.64,255.3,256.55,LMT
34,2018-12-20,271.99,273.82,261.41,265.29,LMT
35,2018-12-19,279.75,283.81,271.52,273.96,LMT
36,2018-12-18,281.55,283.84,278.045,279.47,LMT
37,2018-12-17,286.2,286.79,277.84,279.23,LMT
38,2018-12-14,290.0,291.24,286.62,287.7,LMT
39,2018-12-13,293.27,295.27,291.0,292.23,LMT
40,2018-12-12,295.99,296.8,292.01,292.5,LMT
41,2018-12-11,302.68,303.25,290.33,292.15,LMT
42,2018-12-10,289.93,298.93,289.19,298.4,LMT
43,2018-12-07,285.4,290.3459,285.21,285.4,LMT
44,2018-12-06,282.9,286.8908,277.2,286.35,LMT
45,2018-12-04,295.72,295.72,286.03,286.73,LMT
46,2018-12-03,304.94,305.325,295.9,296.79,LMT
47,2018-11-30,300.75,303.533,297.88,300.43,LMT
48,2018-11-29,301.0,304.9793,300.28,302.42,LMT
49,2018-11-28,297.85,300.5278,293.94,299.94,LMT
50,2018-11-27,293.9,295.66,289.6047,295.29,LMT
51,2018-11-26,297.04,298.85,292.9184,295.28,LMT
52,2018-11-23,293.06,297.94,291.93,295.38,LMT
53,2018-11-21,295.0,297.85,294.23,294.29,LMT
54,2018-11-20,291.36,295.2499,288.5578,293.86,LMT
55,2018-11-19,301.09,301.09,293.2204,294.59,LMT
56,2018-11-16,303.84,305.25,299.865,301.24,LMT
57,2018-11-15,302.17,308.0,299.74,305.48,LMT
58,2018-11-14,308.27,309.68,303.01,303.39,LMT
59,2018-11-13,304.81,308.855,302.23,305.74,LMT
